id,question,correct_answer,answer_variant_2,answer_variant_3,game_code
85,What is 2x + 1 + 9 when x = 10?,30,25,23,math
86,What is x if: 4x + 2 = 30?,7,4,1,math
87,What is 8 + 17?,25,3,24,math
88,What is 10x + 8 + 4 when x = 5?,62,11,3,math
89,What is 5 - 5?,0,18,12,math
90,What is 5 / 5?,1,4,7,math
91,What is 5 * 4?,20,11,58,math
92,What is x if: 8x + 2 = 74?,9,8,1,math
93,What is 9 + 3?,12,24,39,math
94,What is 5 + 15?,20,40,14,math
95,What is 4x + 1 + 4 when x = 5?,25,35,11,math
96,What is x if: 6x + 8 = 26?,3,8,3,math
97,What is 63 / 9?,7,7,5,math
98,What is x if: 5x + 3 = 33?,6,6,1,math
99,What is 49 / 7?,7,5,8,math
100,What is 48 / 6?,8,10,1,math
101,What is 2 * 7?,14,61,94,math
102,What is x if: 8x + 10 = 34?,3,8,9,math
103,What is 19 + 11?,30,20,27,math
104,What is 7 + 17?,24,2,26,math
105,What is 9x + 10 + 3 when x = 2?,31,13,35,math
106,What is 6 / 3?,2,4,4,math
107,What is 16 / 2?,8,3,7,math
108,What is 3x + 6 + 6 when x = 9?,39,15,34,math
109,What is 11 - 7?,4,13,16,math
110,What is 8 + 3?,11,24,3,math
111,What is 4 * 1?,4,60,67,math
112,What is 15 + 14?,29,35,34,math
113,What is 1 + 13?,14,5,4,math
114,What is x if: 7x + 9 = 65?,8,7,3,math
115,What is 40 / 4?,10,10,2,math
116,What is 9x + 1 + 9 when x = 9?,91,1,21,math
117,What is 6x + 8 + 1 when x = 2?,21,22,39,math
118,What is 5 - 2?,3,1,19,math
119,What is 6x + 10 + 2 when x = 5?,42,34,20,math
120,What is 8x + 10 + 9 when x = 6?,67,3,35,math
121,What is 10 - 5?,5,3,3,math
122,What is 60 / 10?,6,6,10,math
123,What is 9 * 3?,27,56,95,math
124,What is 9 * 9?,81,46,79,math
125,What is 7 + 3?,10,35,22,math
126,What is 4 * 10?,40,71,42,math
127,What is 6x + 2 + 5 when x = 8?,55,6,5,math
128,What is 80 / 8?,10,9,2,math
129,What is x if: 7x + 10 = 38?,4,5,6,math
130,What is 7 + 8?,15,23,23,math
131,What is 13 - 1?,12,19,2,math
132,What is 3x + 6 + 8 when x = 9?,41,5,40,math
133,What is 18 + 18?,36,10,28,math
134,What is 4 / 4?,1,1,7,math
135,What is x if: 1x + 10 = 20?,10,6,6,math
136,What is 8x + 1 + 3 when x = 1?,12,25,17,math
137,What is 2 / 1?,2,6,1,math
138,What is 1 - 1?,0,2,13,math
139,What is 4 / 2?,2,4,6,math
140,What is 3 / 3?,1,4,10,math
141,What is 16 + 17?,33,37,8,math
142,What is 3 * 2?,6,6,36,math
143,What is 1 + 15?,16,37,3,math
144,What is x if: 3x + 4 = 28?,8,3,3,math
145,What is 6 * 1?,6,27,26,math
146,What is 6 * 8?,48,95,74,math
147,What is 2x + 3 + 7 when x = 2?,14,19,35,math
148,What is 9 / 1?,9,9,6,math
149,What is 20 - 16?,4,17,10,math
150,What is x if: 5x + 5 = 20?,3,1,1,math
151,What is 10x + 3 + 3 when x = 3?,36,25,6,math
152,What is 9x + 1 + 4 when x = 10?,95,21,29,math
153,What is 10 + 17?,27,18,8,math
154,What is 8 - 1?,7,17,14,math
155,What is 20 / 10?,2,6,3,math
156,What is 7 + 15?,22,9,30,math
157,What is 9 + 8?,17,18,6,math
158,What is 19 + 9?,28,2,24,math
159,What is x if: 10x + 7 = 17?,1,4,8,math
160,What is 4 * 6?,24,2,67,math
161,What is 27 / 3?,9,7,8,math
162,What is 8 + 14?,22,6,25,math
163,What is 14 / 2?,7,8,3,math
164,What is 21 / 7?,3,8,7,math
165,What is 8x + 1 + 7 when x = 6?,56,22,6,math
166,What is 8x + 10 + 9 when x = 1?,27,32,1,math
167,What is 70 / 7?,10,9,4,math
168,What is 2 / 2?,1,6,3,math
169,What is 11 + 4?,15,17,12,math
170,What is 4 - 2?,2,19,12,math
171,What is x if: 10x + 5 = 15?,1,1,1,math
172,What is 7x + 9 + 5 when x = 7?,63,17,10,math
173,What is 18 - 16?,2,15,18,math
174,What is 1 - 1?,0,11,7,math
175,What is x if: 7x + 7 = 28?,3,3,8,math
176,What is 13 - 13?,0,12,2,math
177,What is 8 - 1?,7,20,14,math
178,What is x if: 9x + 9 = 81?,8,2,6,math
179,What is 4 * 9?,36,9,67,math
180,What is 32 / 4?,8,9,8,math
181,What is 14 - 14?,0,17,15,math
182,What is 1x + 1 + 6 when x = 3?,10,8,25,math
183,What is x if: 10x + 3 = 43?,4,5,6,math
184,What is 15 + 7?,22,34,39,math
185,What is 9 + 12?,21,8,22,math
186,What is 8 - 2?,6,2,5,math
187,What is 14 / 2?,7,10,7,math
188,What is 20 + 14?,34,17,13,math
189,What is 2 * 2?,4,41,96,math
190,What is x if: 10x + 3 = 103?,10,9,1,math
191,What is 19 - 15?,4,1,1,math
192,What is 1 - 1?,0,8,9,math
193,What is x if: 10x + 8 = 28?,2,2,6,math
194,What is 1 - 1?,0,1,17,math
195,What is 9x + 1 + 7 when x = 10?,98,16,13,math
196,What is 6 * 6?,36,78,65,math
197,What is 3 * 6?,18,33,41,math
198,What is x if: 9x + 3 = 21?,2,9,6,math
199,What is 8 - 8?,0,17,14,math
200,What is 10 + 11?,21,26,8,math
201,What is 17 + 16?,33,24,2,math
202,What is x if: 9x + 2 = 65?,7,7,2,math
203,What is 2 + 13?,15,6,35,math
204,What is 5 * 10?,50,76,9,math
205,What is 10 * 7?,70,74,100,math
206,What is 14 + 2?,16,34,7,math
207,What is 3x + 3 + 2 when x = 7?,26,26,35,math
208,What is 19 + 19?,38,17,36,math
209,What is 6x + 8 + 8 when x = 1?,22,26,19,math
210,What is 6x + 1 + 9 when x = 10?,70,19,11,math
211,What is 10 - 7?,3,8,9,math
212,What is 6 / 6?,1,3,10,math
213,What is 17 - 17?,0,3,5,math
214,What is 8x + 3 + 7 when x = 7?,66,31,5,math
215,What is x if: 1x + 2 = 7?,5,5,10,math
216,What is 5 / 1?,5,9,2,math
217,What is 1 + 19?,20,37,32,math
218,What is 16 / 8?,2,4,3,math
219,What is 2 + 10?,12,31,40,math
220,What is 7 + 5?,12,19,18,math
221,What is x if: 3x + 8 = 23?,5,10,8,math
222,What is 8 * 2?,16,74,43,math
223,What is 7x + 2 + 7 when x = 4?,37,38,10,math
224,What is 10 - 10?,0,14,7,math
225,What is 18 - 9?,9,15,5,math
226,What is 9 * 5?,45,8,71,math
227,What is 2 - 2?,0,16,5,math
228,What is 1x + 9 + 2 when x = 4?,15,22,33,math
229,What is 2x + 4 + 10 when x = 6?,26,38,37,math
230,What is 63 / 9?,7,4,7,math
231,What is 21 / 7?,3,10,8,math
232,What is 30 / 5?,6,10,10,math
233,What is 11 + 16?,27,18,29,math
234,What is 5 - 4?,1,10,10,math
235,What is 6 * 1?,6,38,68,math
236,What is 10 * 5?,50,53,17,math
237,What is 9 * 5?,45,16,70,math
238,What is 8x + 8 + 3 when x = 5?,51,26,9,math
239,What is 1 * 10?,10,62,80,math
240,What is x if: 4x + 5 = 41?,9,8,3,math
241,What is 19 - 15?,4,15,9,math
242,What is x if: 2x + 9 = 25?,8,10,2,math
243,What is 17 + 10?,27,17,39,math
244,What is 56 / 8?,7,2,8,math
245,What is 19 - 17?,2,5,19,math
246,What is x if: 4x + 5 = 29?,6,8,2,math
247,What is 13 + 11?,24,31,37,math
248,What is 36 / 4?,9,1,2,math
249,What is 1 - 1?,0,14,18,math
250,What is x if: 8x + 8 = 32?,3,3,3,math
251,What is 15 - 10?,5,19,10,math
252,What is x if: 10x + 8 = 58?,5,9,5,math
253,What is 6 * 10?,60,83,28,math
254,What is 12 - 5?,7,15,17,math
255,What is 5x + 4 + 8 when x = 1?,17,5,6,math
256,What is 5 / 5?,1,6,1,math
257,What is 6x + 8 + 2 when x = 7?,52,16,3,math
258,What is x if: 7x + 1 = 50?,7,9,2,math
259,What is 2 * 10?,20,9,64,math
260,What is 12 / 4?,3,4,1,math
261,What is 2x + 4 + 8 when x = 7?,26,13,15,math
262,What is 11 - 9?,2,10,3,math
263,What is x if: 10x + 4 = 14?,1,4,7,math
264,What is x if: 8x + 2 = 26?,3,4,7,math
265,What is 3 + 16?,19,3,40,math
266,What is x if: 8x + 5 = 29?,3,7,5,math
267,What is 7 + 11?,18,7,4,math
268,What is 4 + 1?,5,2,20,math
269,What is x if: 1x + 10 = 18?,8,5,10,math
270,What is 20 + 4?,24,4,30,math
271,What is 18 - 7?,11,9,10,math
272,What is 12 + 18?,30,22,29,math
273,What is 17 - 4?,13,14,12,math
274,What is 10 / 10?,1,10,9,math
275,What is 2x + 1 + 1 when x = 2?,6,31,31,math
276,What is 16 / 2?,8,8,1,math
277,What is 7x + 7 + 5 when x = 1?,19,20,4,math
278,What is x if: 5x + 4 = 14?,2,9,2,math
279,What is 6 + 18?,24,32,34,math
280,What is 4 - 3?,1,10,19,math
281,What is 7 + 11?,18,19,27,math
282,What is 13 + 3?,16,32,23,math
283,What is 4 / 2?,2,6,2,math
284,What is 28 / 4?,7,8,1,math
285,What is 2x + 10 + 2 when x = 9?,30,2,31,math
286,What is 17 + 2?,19,12,5,math
287,What is x if: 7x + 2 = 30?,4,6,10,math
288,What is 5 - 4?,1,7,2,math
289,What is 7 + 14?,21,11,1,math
290,What is 6x + 7 + 9 when x = 5?,46,19,10,math
291,What is 5 + 17?,22,16,8,math
292,What is 5 + 8?,13,27,28,math
293,What is x if: 4x + 6 = 22?,4,1,7,math
294,What is 4 * 10?,40,90,92,math
295,What is x if: 9x + 6 = 60?,6,4,4,math
296,What is 8x + 8 + 1 when x = 9?,81,38,36,math
297,What is x if: 2x + 9 = 21?,6,6,10,math
298,What is 18 + 6?,24,35,15,math
299,What is 5 * 3?,15,16,80,math
300,What is 14 - 9?,5,14,18,math
301,What is 36 / 6?,6,2,8,math
302,What is 10 / 5?,2,8,5,math
303,What is 7 * 8?,56,74,73,math
304,What is 10 / 5?,2,2,7,math
305,What is 6 + 20?,26,13,23,math
306,What is 18 / 3?,6,10,6,math
307,What is x if: 8x + 8 = 64?,7,5,4,math
308,What is 90 / 10?,9,8,2,math
309,What is 12 / 4?,3,10,8,math
310,What is 5x + 1 + 4 when x = 8?,45,22,8,math
311,What is x if: 7x + 5 = 54?,7,1,10,math
312,What is 7x + 6 + 5 when x = 3?,32,10,14,math
313,What is x if: 6x + 6 = 66?,10,1,9,math
314,What is 6 * 5?,30,87,5,math
315,What is 3 / 3?,1,9,2,math
316,What is 8 * 8?,64,8,96,math
317,What is 5 * 4?,20,23,72,math
318,What is 1x + 2 + 2 when x = 4?,8,8,1,math
319,What is 4x + 8 + 9 when x = 4?,33,39,14,math
320,What is 4 / 2?,2,2,4,math
321,What is 18 + 12?,30,21,25,math
322,What is 7x + 8 + 10 when x = 9?,81,1,4,math
323,What is 17 - 16?,1,18,11,math
324,What is 1x + 9 + 4 when x = 9?,22,21,21,math
325,What is 8x + 3 + 4 when x = 5?,47,24,15,math
326,What is 20 - 2?,18,12,3,math
327,What is 13 - 12?,1,17,9,math
328,What is 80 / 10?,8,3,8,math
329,What is 18 + 20?,38,39,8,math
330,What is 3 - 3?,0,16,5,math
331,What is 2 * 4?,8,86,28,math
332,What is 56 / 7?,8,3,4,math
333,What is 2x + 6 + 8 when x = 7?,28,11,2,math
334,What is x if: 1x + 2 = 3?,1,7,3,math
335,What is x if: 7x + 2 = 65?,9,9,10,math
336,What is 2 * 8?,16,99,10,math
337,What is 2 - 2?,0,8,7,math
338,What is 1 - 1?,0,7,19,math
339,What is 15 - 12?,3,17,19,math
340,What is 9 * 5?,45,14,71,math
341,What is 17 - 8?,9,12,17,math
342,What is 5 - 1?,4,14,5,math
343,What is 5 - 2?,3,7,11,math
344,What is 7 + 13?,20,8,22,math
345,What is 12 / 3?,4,10,2,math
346,What is 40 / 5?,8,10,10,math
347,What is 6x + 10 + 4 when x = 6?,50,8,25,math
348,What is 12 + 18?,30,36,12,math
349,What is 10 + 13?,23,37,19,math
350,What is x if: 7x + 6 = 48?,6,8,2,math
351,What is 9 / 1?,9,5,5,math
352,What is 50 / 5?,10,9,2,math
353,What is 24 / 3?,8,1,2,math
354,What is 3 / 1?,3,9,9,math
355,What is 14 - 8?,6,3,3,math
356,What is 1 - 1?,0,6,6,math
357,What is 13 + 1?,14,5,23,math
358,What is 6 / 6?,1,5,4,math
359,What is 3 + 12?,15,3,13,math
360,What is 8 + 9?,17,34,15,math
361,What is x if: 6x + 6 = 36?,5,5,7,math
362,What is 4 * 10?,40,71,25,math
363,What is 13 - 2?,11,14,8,math
364,What is 9 * 8?,72,82,65,math
365,What is 20 / 10?,2,4,10,math
366,What is 8 * 7?,56,64,97,math
367,What is 8 * 7?,56,62,4,math
368,What is 70 / 7?,10,1,5,math
369,What is 11 - 4?,7,20,16,math
370,What is 2 - 2?,0,19,15,math
371,What is 13 - 9?,4,20,11,math
372,What is 3 + 14?,17,39,36,math
373,What is 56 / 8?,7,1,8,math
374,What is x if: 9x + 8 = 44?,4,2,10,math
375,What is 2 * 3?,6,40,72,math
376,What is 8 + 17?,25,29,21,math
377,What is 3x + 7 + 2 when x = 7?,30,30,26,math
378,What is 36 / 9?,4,9,4,math
379,What is 24 / 3?,8,5,2,math
380,What is x if: 3x + 10 = 25?,5,6,2,math
381,What is 6 + 19?,25,40,16,math
382,What is 7 + 18?,25,3,2,math
383,What is 40 / 5?,8,3,2,math
384,What is x if: 6x + 2 = 14?,2,8,8,math
385,What is 9 * 4?,36,57,4,math
386,What is 10 / 2?,5,2,8,math
387,What is 9 - 2?,7,19,15,math
388,What is 5 / 5?,1,2,3,math
389,What is 14 - 2?,12,5,3,math
390,What is 17 + 9?,26,35,7,math
391,What is 6 * 6?,36,32,37,math
392,What is 18 - 15?,3,5,7,math
393,What is 5x + 3 + 4 when x = 3?,22,38,21,math
394,What is x if: 2x + 7 = 15?,4,10,5,math
395,What is 20 + 16?,36,18,5,math
396,What is 7 - 5?,2,6,6,math
397,What is 5x + 9 + 10 when x = 5?,44,12,19,math
398,What is 10 * 5?,50,86,50,math
399,What is 3x + 2 + 2 when x = 10?,34,29,36,math
400,What is 6 + 19?,25,8,27,math
401,What is 9 - 4?,5,3,17,math
402,What is 9 / 1?,9,9,4,math
403,What is 5 + 2?,7,39,34,math
404,What is 5 - 2?,3,11,9,math
405,What is 8x + 6 + 3 when x = 5?,49,37,36,math
406,What is 2x + 2 + 5 when x = 6?,19,16,1,math
407,What is 8x + 9 + 1 when x = 6?,58,14,40,math
408,What is 9 * 5?,45,100,57,math
409,What is 8x + 8 + 6 when x = 1?,22,20,5,math
410,What is 5 * 9?,45,41,74,math
411,What is 8 * 3?,24,39,86,math
412,What is 1 * 5?,5,85,64,math
413,What is 7 * 4?,28,5,66,math
414,What is 5x + 4 + 3 when x = 2?,17,32,9,math
415,What is 10x + 6 + 8 when x = 8?,94,31,22,math
416,What is 5 * 9?,45,60,73,math
417,What is 20 / 10?,2,7,3,math
418,What is 1 + 16?,17,39,38,math
419,What is 1 + 3?,4,4,21,math
420,What is 6 + 10?,16,3,28,math
421,What is 19 + 5?,24,39,40,math
422,What is 21 / 3?,7,4,10,math
423,What is 28 / 7?,4,7,2,math
424,What is 12 + 6?,18,21,7,math
425,What is 80 / 10?,8,5,9,math
426,What is 9 - 1?,8,14,1,math
427,What is x if: 6x + 1 = 25?,4,4,10,math
428,What is 7x + 8 + 4 when x = 10?,82,16,25,math
429,What is 3 * 2?,6,40,74,math
430,What is 3 + 4?,7,2,38,math
431,What is 5 * 2?,10,56,29,math
432,What is 9x + 4 + 7 when x = 8?,83,29,8,math
433,What is 14 - 10?,4,1,8,math
434,What is x if: 5x + 8 = 28?,4,6,9,math
435,What is 19 - 17?,2,18,20,math
436,What is 10 * 10?,100,55,13,math
437,What is 1 * 5?,5,38,37,math
438,What is 7 * 10?,70,76,43,math
439,What is 3x + 5 + 7 when x = 2?,18,14,14,math
440,What is 8 + 18?,26,31,33,math
441,What is 11 + 7?,18,27,19,math
442,What is 4x + 2 + 10 when x = 6?,36,35,28,math
443,What is 4 - 2?,2,4,3,math
444,What is 4 * 3?,12,67,45,math
445,What is 8 * 7?,56,93,10,math
446,What is 18 + 10?,28,32,21,math
447,What is 4x + 8 + 5 when x = 3?,25,30,9,math
448,What is 4 + 14?,18,27,31,math
449,What is 18 / 9?,2,7,5,math
450,What is x if: 9x + 1 = 91?,10,2,8,math
451,What is 1 - 1?,0,19,11,math
452,What is 8 / 2?,4,9,2,math
453,What is x if: 9x + 4 = 49?,5,8,5,math
454,What is x if: 10x + 10 = 110?,10,6,3,math
455,What is 1 * 6?,6,60,16,math
456,What is x if: 8x + 7 = 39?,4,6,8,math
457,What is 2x + 6 + 10 when x = 7?,30,33,33,math
458,What is 30 / 10?,3,3,3,math
459,What is 5x + 7 + 2 when x = 3?,24,12,14,math
460,What is 2x + 8 + 8 when x = 8?,32,29,18,math
461,What is 6x + 2 + 3 when x = 5?,35,2,24,math
462,What is 19 - 17?,2,3,13,math
463,What is 5 * 6?,30,100,97,math
464,What is 10 + 12?,22,6,18,math
465,What is x if: 3x + 1 = 16?,5,7,7,math
466,What is x if: 5x + 8 = 18?,2,1,4,math
467,What is 4 * 7?,28,65,46,math
468,What is x if: 8x + 8 = 80?,9,3,2,math
469,What is 15 - 3?,12,4,18,math
470,What is x if: 3x + 4 = 22?,6,9,5,math
471,What is 10 * 3?,30,13,80,math
472,What is 12 / 6?,2,2,6,math
473,What is 11 + 7?,18,14,5,math
474,What is x if: 8x + 9 = 17?,1,1,8,math
475,What is 24 / 8?,3,9,5,math
476,What is 7x + 9 + 10 when x = 7?,68,9,35,math
477,What is 5x + 3 + 9 when x = 2?,22,10,18,math
478,What is 8 + 15?,23,16,29,math
479,What is x if: 2x + 9 = 21?,6,5,4,math
480,What is 5 * 1?,5,77,87,math
481,What is x if: 5x + 4 = 19?,3,5,7,math
482,What is 6 - 2?,4,4,13,math
483,What is 30 / 6?,5,6,4,math
484,What is x if: 6x + 7 = 25?,3,8,1,math
485,What is 7 / 1?,7,8,10,math
486,What is 7 * 6?,42,34,5,math
487,What is 9x + 9 + 9 when x = 10?,108,37,22,math
488,What is 40 / 5?,8,2,6,math
489,What is 4 * 3?,12,62,57,math
490,What is 9x + 7 + 4 when x = 3?,38,9,40,math
491,What is 3 - 3?,0,2,1,math
492,What is x if: 7x + 2 = 30?,4,1,10,math
493,What is 2 * 5?,10,23,61,math
494,What is x if: 8x + 7 = 47?,5,6,10,math
495,What is 54 / 9?,6,6,6,math
496,What is x if: 9x + 1 = 28?,3,6,9,math
497,What is 10 * 6?,60,17,64,math
498,What is 2x + 3 + 4 when x = 4?,15,2,26,math
499,What is 2x + 3 + 3 when x = 2?,10,8,25,math
500,What is 16 + 11?,27,31,28,math
501,What is 4 * 9?,36,70,51,math
502,What is 4 * 5?,20,85,76,math
503,What is 15 - 15?,0,1,1,math
504,What is 30 / 5?,6,8,1,math
505,What is 14 - 1?,13,11,11,math
506,What is 5 * 9?,45,9,2,math
507,What is 10 - 7?,3,1,10,math
508,What is x if: 2x + 8 = 18?,5,6,8,math
509,What is x if: 3x + 4 = 16?,4,4,5,math
510,What is 3x + 7 + 1 when x = 3?,17,12,27,math
511,What is x if: 2x + 10 = 26?,8,9,3,math
512,What is 72 / 8?,9,1,8,math
513,What is 54 / 6?,9,9,1,math
514,What is x if: 2x + 9 = 21?,6,5,4,math
515,What is 7x + 2 + 2 when x = 1?,11,6,34,math
516,What is 17 - 4?,13,15,10,math
517,What is 3 - 3?,0,18,4,math
518,What is x if: 10x + 1 = 101?,10,2,10,math
519,What is 9 - 7?,2,12,1,math
520,What is 20 - 8?,12,1,18,math
521,What is 1 * 1?,1,41,20,math
522,What is 7 * 1?,7,60,57,math
523,What is 2 * 2?,4,85,50,math
524,What is 8x + 7 + 3 when x = 5?,50,39,12,math
525,What is 8 - 8?,0,18,6,math
526,What is 8 - 4?,4,13,13,math
527,What is x if: 4x + 6 = 14?,2,1,5,math
528,What is 1 * 6?,6,97,30,math
529,What is x if: 9x + 10 = 46?,4,2,4,math
530,What is 1 * 3?,3,1,77,math
531,What is 10 * 5?,50,76,90,math
532,What is 12 - 2?,10,6,2,math
533,What is 2x + 1 + 7 when x = 5?,18,8,15,math
534,What is 9 * 10?,90,55,83,math
535,What is x if: 1x + 7 = 17?,10,1,6,math
536,What is 7x + 4 + 2 when x = 7?,55,5,28,math
537,What is 10 * 9?,90,66,18,math
538,What is x if: 6x + 1 = 7?,1,2,2,math
539,What is x if: 7x + 1 = 29?,4,2,9,math
540,What is 10x + 4 + 5 when x = 1?,19,23,40,math
541,What is 2 * 10?,20,54,69,math
542,What is 12 + 19?,31,33,12,math
543,What is 7 - 5?,2,8,4,math
544,What is 10 * 10?,100,29,22,math
545,What is 20 / 5?,4,5,6,math
546,What is 7 * 5?,35,82,71,math
547,What is x if: 2x + 10 = 12?,1,3,6,math
548,What is 14 + 9?,23,6,21,math
549,What is 17 + 17?,34,35,10,math
550,What is x if: 9x + 2 = 20?,2,3,10,math
551,What is 4x + 10 + 8 when x = 6?,42,40,35,math
552,What is 16 + 6?,22,36,21,math
553,What is 56 / 7?,8,3,1,math
554,What is 50 / 10?,5,4,5,math
555,What is 3 - 1?,2,20,14,math
556,What is x if: 2x + 6 = 22?,8,6,3,math
557,What is 2 - 2?,0,14,12,math
558,What is 9 + 17?,26,15,38,math
559,What is 5 * 10?,50,6,84,math
560,What is 7x + 6 + 1 when x = 2?,21,37,15,math
561,What is 11 + 9?,20,11,29,math
562,What is 6 + 19?,25,1,7,math
563,What is 1 * 4?,4,78,99,math
564,What is x if: 7x + 4 = 74?,10,5,4,math
565,What is 11 + 5?,16,8,11,math
566,What is x if: 2x + 9 = 13?,2,3,5,math
567,What is 2x + 1 + 7 when x = 2?,12,13,8,math
568,What is 4 - 1?,3,14,2,math
569,What is 20 - 7?,13,2,2,math
570,What is 4 * 8?,32,56,44,math
571,What is 1 * 3?,3,4,40,math
572,What is 6 * 8?,48,34,92,math
573,What is 4 + 4?,8,22,40,math
574,What is 18 - 2?,16,4,12,math
575,What is 63 / 9?,7,2,3,math
576,What is 3 - 3?,0,3,20,math
577,What is x if: 2x + 5 = 13?,4,4,2,math
578,What is 1x + 3 + 4 when x = 2?,9,29,27,math
579,What is x if: 3x + 9 = 33?,8,2,9,math
580,What is x if: 2x + 10 = 12?,1,2,4,math
581,What is 6x + 7 + 5 when x = 3?,30,31,19,math
582,What is 5 * 10?,50,85,39,math
583,What is x if: 5x + 5 = 40?,7,4,4,math
584,What is x if: 1x + 10 = 20?,10,2,8,math
585,What is x if: 10x + 1 = 51?,5,2,5,math
586,What is 8x + 10 + 5 when x = 10?,95,22,2,math
587,What is 6 * 10?,60,65,98,math
588,What is x if: 6x + 2 = 8?,1,10,10,math
589,What is x if: 7x + 6 = 69?,9,8,9,math
590,What is 12 - 9?,3,10,7,math
591,What is 8 / 2?,4,4,7,math
592,What is 17 - 6?,11,14,12,math
593,What is 20 / 5?,4,10,5,math
594,What is 9x + 9 + 6 when x = 6?,69,38,38,math
595,What is 8 * 3?,24,99,59,math
596,What is 14 - 13?,1,16,10,math
597,What is 7 - 7?,0,19,17,math
598,What is 7 - 6?,1,4,3,math
599,What is 10 + 9?,19,11,24,math
600,What is x if: 2x + 2 = 6?,2,8,7,math
