id,question,correct_answer,answer_variant_2,answer_variant_3,game_code
756,What is a synonym for dark?,shadowy,shadowy,dim,lang
757,What is a synonym for happy?,glad,joyful,glad,lang
758,What is the Russian translation of picture?,картина,очки,ручка,lang
759,What is the Russian translation of moon?,луна,кровать,машина,lang
760,What is the Russian translation of notebook?,тетрадь,учитель,ручка,lang
761,What is the Russian translation of bed?,кровать,ученик,часы,lang
762,What is a synonym for big?,large,huge,large,lang
763,What is the Russian translation of shirt?,рубашка,машина,ученик,lang
764,What is a synonym for slow?,delayed,leisurely,delayed,lang
765,What is the Russian translation of school?,школа,музыка,карандаш,lang
766,What is the Russian translation of teacher?,учитель,мяч,цветок,lang
767,What is the Russian translation of apple?,яблоко,яблоко,звезда,lang
768,What is the Russian translation of lamp?,лампа,шарф,мяч,lang
769,What is the Russian translation of notebook?,тетрадь,земля,носки,lang
770,What is the Russian translation of coat?,пальто,земля,рубашка,lang
771,What is the Russian translation of door?,дверь,парта,очки,lang
772,What is a synonym for bright?,luminous,shiny,radiant,lang
773,What is a synonym for strong?,mighty,powerful,robust,lang
774,What is the Russian translation of car?,машина,шарф,небо,lang
775,What is a synonym for slow?,sluggish,leisurely,delayed,lang
776,What is the Russian translation of computer?,компьютер,сумка,очки,lang
777,What is a synonym for sad?,depressed,miserable,unhappy,lang
778,What is a synonym for strong?,powerful,robust,powerful,lang
779,What is the Russian translation of coat?,пальто,зеркало,ручка,lang
780,What is a synonym for cold?,chilly,freezing,cool,lang
781,What is a synonym for hot?,burning,warm,scorching,lang
782,What is the Russian translation of watch?,часы,рубашка,окно,lang
783,What is a synonym for hot?,warm,burning,scorching,lang
784,What is the Russian translation of cat?,кот,носки,кресло,lang
785,What is the Russian translation of ball?,мяч,перчатки,ученик,lang
786,What is the Russian translation of teacher?,учитель,дверь,небо,lang
787,What is a synonym for sad?,unhappy,miserable,depressed,lang
788,What is the Russian translation of shoes?,туфли,картина,дерево,lang
789,What is the Russian translation of student?,ученик,машина,сумка,lang
790,What is a synonym for sad?,miserable,unhappy,miserable,lang
791,What is the Russian translation of teacher?,учитель,компьютер,брюки,lang
792,What is a synonym for hot?,burning,warm,burning,lang
793,What is the Russian translation of pen?,ручка,шарф,перчатки,lang
794,What is a synonym for fast?,swift,quick,swift,lang
795,What is a synonym for dark?,gloomy,dim,gloomy,lang
796,What is the Russian translation of watch?,часы,яблоко,собака,lang
797,What is a synonym for dark?,dim,dim,gloomy,lang
798,What is a synonym for happy?,content,glad,content,lang
799,What is a synonym for dark?,gloomy,gloomy,shadowy,lang
800,What is the Russian translation of apple?,яблоко,брюки,ремень,lang
